repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),487a50851210e50da7000567e5c0031393744d50,2016-11-13T22:44:40-05:00,Elliott Sales de Andrade,doc: Add types to backend listings.,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),487a50851210e50da7000567e5c0031393744d50,2016-11-13T22:44:40-05:00,Elliott Sales de Andrade,doc: Add types to backend listings.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),1d5458080c4289c7cc1a3b14b89e700f6aa64274,2016-11-11T08:28:39-08:00,David A,Added spacer to Tk toolbar,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),7371b522869947e0e498d2e01271fa5bd2a2041f,2016-11-07T18:47:41-08:00,Nelle Varoquaux,Merge pull request #7409 from OceanWolf/fix-tbar-None,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,112a901b25aab4b958ccb7134ed6bd5bc859a29d,2016-11-05T18:45:51-04:00,Elliott Sales de Andrade,Make hatch colour an rcParam.,69,Style file loaded via package resources
matplotlib,lib/matplotlib/tests/baseline_images/test_axes/bxp_horizontal.png,lib/matplotlib/tests/test_axes.py,image comparison (runtime file read),1ae616e0b71bb9245e43d8da9aa908db79cb5c92,2016-11-05T07:50:38-10:00,Eric Firing,Fix all the baseline images that were bad because of the bug,6,Baseline image for visual comparison
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),ba9ce9ed19d54ffdcad5454c7bd49113d8cf34c4,2016-11-04T23:46:07+01:00,OceanWolf,FIX: MPL should not use new tool manager unless explicited asked for.,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,3d3b8d262344bb44b2b4b8b33931eecc6ed33fd7,2016-11-04T13:17:55-07:00,Nelle Varoquaux,Merge pull request #7399 from stilley2/master,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,050745972b7ee37782b7db4e6a726685852343e6,2016-11-04T09:25:04-04:00,Steven Tilley,Clarify wspace/hspace in documentation/comments,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,255d4c31028bc1ecbb5267cb8c9aef3f54147b0a,2016-11-01T21:50:24-10:00,Eric Firing,"add axes.formatter.offset_threshold rcParam: classic is 2, v2.0 is 4",69,Style file loaded via package resources
